Sl No.,Date,Startup Name,Industry Category,Sub-Category,City  Location,Investors Name,Investment Type,Amount in USD,Remarks
2579,3/7/2015,CultureAlley,Language Learning App,N/A,Jaipur,Tiger Global,Private Equity Funding,"65,00,000",Series A
2580,3/7/2015,Goqii,Mobile Fitness Marketplace,N/A,Mumbai,Vijay Shekhar Sharma,Private Equity Funding,,Pre-Series A
2581,3/7/2015,Gingercrush,Custom Merchandize platform,N/A,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,"10,00,000",N/A
2582,4/7/2015,Elanic,P2P Pre-owned goods marketplace,N/A,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,,N/A
2583,4/7/2015,Stitchwood,Custom Furniture Marketplace,N/A,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,"3,95,000",N/A
2584,5/7/2015,Urban Tailor,Online Tailoring Services,N/A,Bangalore,Group of angel investors,Seed Funding,,N/A
2585,6/7/2015,ConfirmtTkt,Rail Ticket Confirmation predictor,N/A,Bangalore,Pravin Agarwala & others,Seed Funding,,N/A
2586,6/7/2015,Paper Boat,Ethnic Beverages manufacturer,N/A,Gurgaon,"Sofina, Hillhouse Capital",Private Equity Funding,"3,00,00,000",Series B
2587,6/7/2015,getNow,Hyperlocal Goods marketplace,N/A,Nagpur,Atulya Mittal,Seed Funding,,N/A
2588,7/7/2015,Wudstay,Budget Accommodation aggregator,N/A,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity Funding,"30,00,000",Series A
2589,7/7/2015,Liases Foras,Real Estate Rating & Analysis,N/A,New Delhi,DMG information Asia Pacific,Private Equity Funding,"50,00,000",Series A
2590,7/7/2015,Eatlo,Food Delivery platform,N/A,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,,N/A
2591,7/7/2015,IndiaLends,Financial Tech,N/A,New Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity Funding,,Pre-Series A
2592,8/7/2015,Quinto,Food Discovery App,N/A,Pune,Jaydeep Barman,Seed Funding,,N/A
2593,8/7/2015,Saavn,Music Streaming App,N/A,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity Funding,"10,00,00,000",Series C
2594,8/7/2015,Flytxt,Big Data & Analytics platform,N/A,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity Funding,"1,10,00,000",Series A
2595,8/7/2015,Axtria,Big Data & Analytics platform,N/A,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity Funding,"3,00,00,000",Series C
2596,8/7/2015,33Coupons,Coupon Aggregator Platform,N/A,Kanpur,Not Disclosed,Seed Funding,"$20,000.00",N/A
2597,8/7/2015,Ampere,Electric Scooter manufacturer,N/A,Coimbatore,Ratan Tata,Seed Funding,,N/A
